   ,YEAR_MONTH,CUSTOMER_CODE,SUM(A.SALES_QTY_TOT),SUM(SALES_VALUE_TOT)
1,2019-11,000000009002145,801.46,29139824.9
2,2019-04,000000009000579,107,645312
3,2019-04,000000009018352,200,1066000
4,2019-05,000000009001453,58.67,2686919.9
5,2019-05,000000009001568,235.23,10791341.5
6,2019-05,000000009017137,1.88,87920
7,2019-05,000000009001332,4150.91,177653067.7
8,2019-05,000000009000147,152.62,6640076.9
9,2019-05,000000009002623,39.15,1586733
10,2019-05,000000009001713,2774.47,111383038.7
11,2019-05,000000009001449,343.87,13690679.6
12,2019-05,000000009001628,1496.62,63520881.3
13,2019-05,000000009001877,1273.73,54119452.1
14,2019-05,000000009002340,4129.67,171321810.8
15,2019-05,000000009011393,1284.73,54728185.5
16,2019-05,000000009004895,766.39,31955492.5
17,2019-04,000000009001136,4255.36,152531024.8
18,2019-04,000000009014846,108.44,5179214.2
19,2019-04,000000009001455,100.31,4567114.3
20,2019-04,000000009010899,18.11,869409.1
21,2019-11,000000009004438,3921.42,136618282.5
22,2019-11,000000009004732,2136.43,74789198.2
23,2019-04,000000009008597,10828.46,341365053
24,2019-04,000000009015872,362.87,17062518.1
25,2019-04,000000009000095,163.91,7436553.35
26,2019-04,000000009000992,1020.09,44155023.3
27,2019-04,000000009007151,42.15,1933438.5
28,2019-11,000000009014796,45.85,1558900
29,2019-04,000000009002464,307.89,13711753.45
30,2019-04,000000009014334,119.31,5022735
31,2019-05,000000009015545,388.46,18986026
32,2019-05,000000009000992,1864.98,73739719.8
33,2019-04,000000009002844,178.39,7614622.9
34,2019-04,000000009004055,349.58,14787234
35,2019-04,000000009000902,682.85,29472551.9
36,2019-04,000000009001836,18.49,875508.4
37,2019-05,000000009001639,706.66,29143177.4
38,2019-05,000000009000911,407.37,18367832.65
39,2019-11,000000009017388,164.42,691225.2
40,2019-05,000000009002152,3521.59,145587376.55
41,2019-05,000000009017970,156.46,3833270
42,2019-05,000000009008371,418.38,16968570.3
43,2019-11,000000009002779,2566.32,90962999.31
44,2019-04,000000009017386,590.56,590560
45,2019-04,000000009001363,279.01,12040765.7
46,2019-04,000000009011391,650.44,28147054.9
47,2019-04,000000009001121,20.92,971943.2
48,2019-05,000000009013405,92.08,4271607.3
49,2019-04,000000009002467,44.08,1974545.6
50,2019-04,000000009008408,108.24,4833815.64
51,2019-11,000000009011400,12388.15,427843598.47
52,2019-11,000000009001442,878.44,31487327.7
53,2019-11,000000009008597,1186.94,26924995
54,2019-11,000000009014031,1114.96,37259935.16
55,2019-11,000000009002031,117.23,4212119.2
56,2019-11,000000009009048,460.35,16114045.2
57,2019-04,000000009011401,757.71,33375343.9
58,2019-05,000000009013395,969.2,31364034.4
59,2019-05,000000009010554,477.1,9565855
60,2019-05,000000009010682,111,610280
61,2019-04,000000009008371,453.34,19556360.3
62,2019-05,000000009001878,560.81,25931826.6
63,2019-05,000000009017444,29.34,1218397.4
64,2019-04,000000009005109,57.07,2347897.8
65,2019-11,000000009000740,3058.59,107145788
66,2019-04,000000009001453,40.85,1939904.2
67,2019-04,000000009001568,67.14,3177866.2
68,2019-04,000000009002732,71.05,3372136.3
69,2019-05,000000009012107,4077.24,81544800
70,2019-05,000000009000108,643.55,26904676.3
71,2019-05,000000009002386,1559.66,63797799.4
72,2019-04,000000009018435,3.98,182403.4
73,2019-04,000000009004714,66.34,2734244
74,2019-04,000000009011784,596.47,24730968.2
75,2019-04,000000009005991,473.74,19257531
76,2019-10,000000009003624,559.32,20873748.4
77,2019-05,000000009011061,3102.56,128593592.6
78,2019-05,000000009013201,22.03,928484.4
79,2019-05,000000009014151,65.38,2645606
80,2019-10,000000009000961,308.82,10579400.6
81,2019-05,000000009000262,219.22,9193395.7
82,2019-10,000000009018374,190.1,6539519
83,2019-10,000000009013703,499.16,16027593.5
84,2019-10,000000009001547,900.32,29723936
85,2019-10,000000009002759,1529.96,55393398.9
86,2019-05,000000009002383,184.42,7868023.1
87,2019-05,000000009001031,1276.99,54207704.3
88,2019-05,000000009013481,434.82,1810752
89,2019-05,000000009014016,193,1046030
90,2019-05,000000009001346,1622.21,53599308.8
91,2019-05,000000009002235,1844.9,76962252
92,2019-05,000000009000095,218.97,9104798.15
93,2019-05,000000009016318,490.2,16055843.8
94,2019-05,000000009001459,43.36,1748708.8
95,2019-10,000000009000018,5308.42,174357859.9
96,2019-10,000000009018905,883.54,28220698
97,2019-10,000000009005164,160,1203000
98,2019-10,000000009009055,20.58,681198
99,2019-10,000000009014749,248.7,1231065
100,2019-10,000000009018685,227.7,250470
101,2019-10,000000009007901,935.95,29715608.9
102,2019-10,000000009013328,892.61,32758016.7
103,2019-05,000000009015986,124.62,5291315
104,2019-10,000000009019218,70.92,2469490
105,2019-10,000000009001364,661.58,15065139.4
106,2019-05,000000009010911,355.5,14337723.2
107,2019-05,000000009016438,71.41,3094197.61
108,2019-10,000000009003473,2161.52,41068880
109,2019-10,000000009000354,280.47,9816650.4
110,2019-10,000000009009831,97.46,3442857.4
111,2019-10,000000009000308,2241.21,81607233.9
112,2019-05,000000009008488,183.03,8452373.6
113,2019-05,000000009000215,98.52,4513830.6
114,2019-05,000000009013200,60.42,2506135.5
115,2019-05,000000009000044,14.04,569454.3
116,2019-05,000000009009831,154.34,6264660.6
117,2019-04,000000009004968,276.83,11371242.5
118,2019-05,000000009010519,426.19,17562861.4
119,2019-10,000000009004631,39.75,1426412.5
120,2019-10,000000009002116,147.78,5217443.2
121,2019-10,000000009002723,75.62,2693341.2
122,2019-10,000000009000829,176.84,6598519.2
123,2019-10,000000009001639,1760.1,62114546.2
124,2019-05,000000009006563,32.52,1228605.6
125,2019-10,000000009002152,2472.1,91068125.2
126,2019-05,000000009013274,108.7,4582008.2
127,2019-05,000000009015098,604.21,24042814.7
128,2019-05,000000009001379,26.6,26866
129,2019-05,000000009015337,237.12,237120
130,2019-04,000000009000573,641.11,27077273.5
131,2019-10,000000009000579,102.48,768600
132,2019-10,000000009001852,80,600000
133,2019-10,000000009010194,240,1808400
134,2019-05,000000009007147,51.68,2114556.2
135,2019-05,000000009004732,755.42,32334466.3
136,2019-05,000000009005360,119.25,5000347.8
137,2019-05,000000009005609,178.78,7439222
138,2019-05,000000009004437,6.97,303369.25
139,2019-05,000000009015765,83,3501802
140,2019-05,000000009000107,39.25,1907550
141,2019-05,000000009004784,107.28,482760
142,2019-05,000000009011397,224.54,9554547.1
143,2019-05,000000009004666,405.43,19623024.3
144,2019-05,000000009015330,199.95,8561035.6
145,2019-05,000000009016049,113.97,5308152.75
146,2019-05,000000009002237,68.34,3147023.7
147,2019-05,000000009002763,100.32,4165366.2
148,2019-05,000000009015739,469.42,22358485.6
149,2019-10,000000009015950,41.87,1495331.1
150,2019-05,000000009008686,20.57,874225
151,2019-05,000000009013926,51.88,2158614
152,2019-05,000000009001364,79.68,3351867.8
153,2019-05,000000009000192,125.04,475152
154,2019-10,000000009018775,914.3,5900597
155,2019-04,000000009001379,445.3,447771.8
156,2019-05,000000009011398,262.9,11219897.3
157,2019-05,000000009000859,66.49,3050146.9
158,2019-05,000000009017765,73.88,3590568
159,2019-10,000000009006600,125.7,4545358.2
160,2019-10,000000009013325,322.16,11688610.4
161,2019-05,000000009016003,193.08,7933923.8
162,2019-05,000000009005261,1016.55,35685214.9
163,2019-05,000000009014362,77,419500
164,2019-10,000000009000816,719.79,25665612.3
165,2019-10,000000009012474,51.95,1846226
166,2019-05,000000009018433,105.76,370160
167,2019-05,000000009008326,140.25,5594572.5
168,2019-04,000000009014155,56.74,436898
169,2019-05,000000009013019,125.78,540854
170,2019-05,000000009018251,183.16,778430
171,2019-05,000000009016051,80.85,3296409.3
172,2019-05,000000009018507,2.44,108377.9
173,2019-05,000000009001273,48.54,1959723.8
174,2019-05,000000009017323,27.7,1175969
175,2019-05,000000009004674,355.35,14733309.1
176,2019-05,000000009001202,10.52,465141.8
177,2019-05,000000009006908,23.7,922700.2
178,2019-10,000000009001416,654.17,21553597
179,2019-05,000000009008978,139.53,5882005.5
180,2019-05,000000009001455,100.84,4238148.7
181,2019-05,000000009016784,186.12,3731706
182,2019-05,000000009010606,1232.08,49042451.4
183,2019-05,000000009015889,281.52,9912337.2
184,2019-11,000000009015330,200.59,7228599
185,2019-05,000000009017225,45.67,2133950
186,2019-11,000000009001580,106.05,3540470.4
187,2019-05,000000009016316,57.55,2493378.55
188,2019-11,000000009000480,417.02,14056953.5
189,2019-11,000000009008900,199.93,6882569.5
190,2019-05,000000009018495,561.4,18008381
191,2019-05,000000009018440,31.9,1356243.17
192,2019-05,000000009000306,84.88,3367162.4
193,2019-05,000000009008483,126.92,5303447.2
194,2019-05,000000009002041,34.98,1540869
195,2019-11,000000009000167,326.49,11853060
196,2019-11,000000009004564,97.82,3528066
197,2019-05,000000009018374,71.22,2963072
198,2019-05,000000009011418,31.49,1402592.35
199,2019-05,000000009012420,3.24,144187.2
200,2019-11,000000009000108,408.76,14918341
201,2019-11,000000009002718,170.94,6161909.2
202,2019-11,000000009002723,75.3,2744292.4
203,2019-11,000000009019493,59.9,2125448
204,2019-05,000000009009245,97.24,3593018
205,2019-05,000000009017891,149.92,6128575
206,2019-05,000000009013456,113.58,4559453.8
207,2019-05,000000009005109,78.61,3193780.8
208,2019-05,000000009000117,109.54,4715986.7
209,2019-11,000000009019506,65.89,2279794
210,2019-05,000000009017960,329.52,13269852.5
211,2019-05,000000009018535,19.09,813421
212,2019-11,000000009011064,2730.12,95508530.1
213,2019-05,000000009013845,47.41,2043933.2
214,2019-05,000000009000359,82.05,3664446.95
215,2019-11,000000009014983,49.32,1864781
216,2019-05,000000009011355,11.09,474780.7
217,2019-05,000000009008610,31.95,1264437
218,2019-11,000000009017571,388.38,6835488
219,2019-11,000000009015545,422.28,16052484
220,2019-05,000000009001616,21.08,858502.8
221,2019-05,000000009018471,93.37,4272215
222,2019-11,000000009016999,2477.38,86600309
223,2019-11,000000009001852,40,304000
224,2019-11,000000009002282,400,2938000
225,2019-05,000000009018454,11.49,485025
226,2019-11,000000009010606,1574.43,53886441.5
227,2019-05,000000009015712,31.04,1274509
228,2019-11,000000009018420,298.96,10929533.6
229,2019-05,000000009012317,73.11,3533406.3
230,2019-06,000000009000293,2802.64,118122282.5
231,2019-11,000000009002374,1256.94,43886881.5
232,2019-06,000000009013139,388.39,16760715.05
233,2019-05,000000009005010,51.92,2130389
234,2019-05,000000009016354,32.49,1385730.9
235,2019-06,000000009015739,236.28,11048452.8
236,2019-06,000000009001136,3230.18,125462383.8
237,2019-11,000000009019005,104.31,3830770.4
238,2019-11,000000009001085,461.26,15662873.5
239,2019-11,000000009000883,819.99,29015810.25
240,2019-11,000000009002381,500.63,17835796.75
241,2019-11,000000009012290,602.85,22627316.25
242,2019-11,000000009007072,214.27,7086717
243,2019-11,000000009001424,172.33,6367656.2
244,2019-05,000000009001722,123.05,5094270
245,2019-06,000000009018531,4.86,195420.6
